File name,Original_node,Original_edge,Pruning_node,Pruning_edge,Reduction_node,Reduction_edge
2a632d01506dbf61f2247fcf0525e180689d64ff4546876da8eb7bcd52aa7a8b.apk,10584,22562,5378,14536,5206,8026
2b25a9993f525eba0c04d244d87149ffded01625e26b89d56d997d4f7b4b84bc.apk,59666,126670,15380,37483,44286,89187
2b559f1c50d1f0c177e359710cf4f2e9e28820e77eab8ff14ae33ac3d5c92354.apk,22940,43793,10372,22272,12568,21521
2b5de10b0c43bac508e0d10ce5d26f8c9ac9f2d5d08cadd0820be10dad5a6a03.apk,53812,114183,18296,46460,35516,67723
2c039b8a67d934ef5d2e3116e9ad8763307463765cb2fa086002eee1008fddc0.apk,41195,76016,13147,33205,28048,42811
2c03b247d1bf327565f0057bc99bbeff5f370bac86735863db6e71bdc07ad836.apk,32824,61749,12311,28784,20513,32965
2cf3632794fdb1597548b0483085747cd41b62c81cd34d19b2205a33a7e48377.apk,4855,11416,2175,4992,2680,6424
2e4c918f3c02ec5d86144a7c7c507c0812e3373d8789792694b9082cb750fc0c.apk,65049,132610,22934,59436,42115,73174
2ece57c8f7e3786d74ef9a560a2710b5f93fe92ce827db20dbaf69b4d21638c9.apk,18750,28062,7798,15153,10952,12909
2eff0a51dd85ee9db27b3dc5a701fb7596ec9140e04793167b75d78987b182d1.apk,30781,61841,14757,36660,16024,25181
2f5be39036d6a27af802029359b5e9ef73006743bcd2c73e031e3ad4c76a1535.apk,19630,43399,9762,25936,9868,17463
2f758dd14ae34d4ec5bf1274debafab412066ec472cc887ba6cc26f0ba208d1a.apk,57835,117220,17284,43709,40551,73511
2fa5ad797e5f0c84f3cc05cbc119ba9b69277a8986b022e69047d5bfc5cc9fe9.apk,61148,126278,27752,67516,33396,58762
2ffdded79134f5ac1ab5775f5235819f9d7879948e521e4f806fe3377396c003.apk,12975,19213,4595,8945,8380,10268
302aebc19cce25c91d06edc1b37dc29cca64e5804dca52e6c8acc296a58bbda8.apk,48280,98612,21427,53830,26853,44782
308fae8ec279d15a3e11e325ff997d9b8cdc908bbbca67a14bb2c82cf2ffb1ff.apk,40951,75042,12682,31975,28269,43067
30b8bac56822c7f452c7ad3081a887125eba5a68df9376d2a7ae33e2e416e898.apk,49180,107976,19503,51466,29677,56510
3131b47109f2f8a366e2f08bb33529824da12f724b11b51dc4bf1174ab29bdbf.apk,90972,190088,28589,78694,62383,111394
3135a25fc87e417cbf969c22fd9f34f90439e5d5fb640a10168c470afcad5edd.apk,68448,169262,32209,96294,36239,72968
315fa5f7e3dcdba86ebd77b2638d2b317d174d2453010bea7d9df3593792097f.apk,39615,72811,13340,29572,26275,43239
3225e6f7a5ed1c3af5dcb2671239a2102e65ff74c3b68587be161ac3f5717180.apk,91182,238140,36900,117005,54282,121135
322812020a0b1b631e4102e154fbb0c2fb6236a2927fe8d97435052b06b53f36.apk,41528,80219,16888,40114,24640,40105
339831191d4ec7f782714fdfe2942ab287c92da518ae9e994d2a98c25c216670.apk,45817,91549,17400,43867,28417,47682
33f5cd11636dd34d8bf5fa274729d7b5ab94d90aca4fbcce268be926e4226707.apk,24788,46526,6924,19396,17864,27130
344ce2a6974581d390e7f9a21afb4745a2366674072f30fdfc1caca073ad97a1.apk,50232,101698,18416,47798,31816,53900
34a1e476dd512f7738c2d806d426b302e2f508b4b709552b5cf0169806660483.apk,53785,141765,22945,73713,30840,68052
352dca1a8ed2c4a3b5479ffa460ed4b2d5bd1364415cfc03eb738c9028273e54.apk,23847,45655,11080,25154,12767,20501
361fdb6a0f5fb7e097955333203759f311437f97fc9f46b9441aea3ad8a4e077.apk,45037,91038,13683,39706,31354,51332
363a37b7108a86b82649af170cccd1780d9c4bbceeeddc8a7c1df55550013c64.apk,39169,81975,11949,35912,27220,46063
38207f2b0c54dde3b5306f02e185b33859507687af5b586b756e47bbc6ee1e92.apk,34720,62877,10128,21976,24592,40901
3a5afe647cd040d6c4b38b4459b9406b4ad077b40aa6b38aa8b42689bad86f7f.apk,59072,115481,20718,55388,38354,60093
3ac2f40fe56c6deeb2baf42f586a25c4f1926bc655cbac7fd4648febe7000302.apk,44028,84286,17008,40099,27020,44187
3b91f0fa76efdadac426ae3c87b40029b8f48c9f2c65e7d66d11efe2ff271037.apk,21375,39176,6337,16307,15038,22869
3bd8d5039f0a48c0b42c9d1679090984be9476a76eafe5f6435415e5aeb3b9a0.apk,37406,71253,9619,20006,27787,51247
3becbea0a70f56cd80318ef1a8adf1275a0d0a6f8f7fcfa3cfc5858b83d86a00.apk,41086,93105,20465,52416,20621,40689
3c4ff9296e801c78cac3f2a5f253648a411d3c501d7f249f98f4087b85242926.apk,39727,74827,13577,30129,26150,44698
3c6cc01b2ea4fa49c537c05814c6b4bd5d985ab6ffb214ca818dc26e2fbe3a06.apk,24788,46526,6924,19396,17864,27130
3d0e8295bffc601f516669548bd8d3df915dea9c5753ece1cc22211b54250a39.apk,8097,16140,4776,11422,3321,4718
3d3e0ec29427ddcca66d3450d8dcdb92ecd348acf0fd245eb5d0fafe89151c92.apk,58300,123378,18812,53669,39488,69709
3efea2c234d082fe5985cad2e75066d2fe82a69cca5c01b21dfb0841fa5afba2.apk,41740,83515,12350,35627,29390,47888
402795fc4066a89ae93dfa2b56cd9ac98fb2683634f61c273311f8f74977bed6.apk,9464,21671,4346,13675,5118,7996
404616adf75307dde605ab43a5b846e63650bba6a484379c5d818d3f410ac08b.apk,49667,97239,21754,54648,27913,42591
4091a2f960026fc9c9364523988797799bab538e191d844a7416a196a654cb2d.apk,28961,60385,13184,31836,15777,28549
40e442bbada57c7dee82ec88f7d161ec16dc95c0c6bb6cf9a6d9d5917e446a0f.apk,51148,105292,20010,49014,31138,56278
410f78a9e87b0f5491d4fa9f59a03ae372d4aec6ad92dd21d330aac7d3b0c4f6.apk,48629,105232,17507,44065,31122,61167
411c7a945d3eb20c2b255f59f40b2fe0739ea012d077619e9ab668f46497a4b7.apk,71601,159673,27691,73990,43910,85683
411cfaf94045a36894eeca545e629e3bdbfcbce278a92e2baeba7d7f8ca65043.apk,75062,170923,29607,81023,45455,89900
414d5eebe8555387633e3aee65ba98c9dc593efacdb054841c0ab316c3b835c4.apk,47811,112674,22637,64649,25174,48025
41b8c27e2d6697eede968f30ce79c2d0ffdc2139e1f76ade8acdb144d5e055ea.apk,116766,287498,39684,136442,77082,151056
422e77d8831e83492257afc074f7eda8ddde200f00861654022ca78b4e028c37.apk,43262,87510,13306,38913,29956,48597
42de3e55e8f0741ec5aa7394ed91b67ccca98eb9708c3ba9da6cd2d77d0c0c3b.apk,33235,64322,11887,29326,21348,34996
42ed85ec4e948bfeb69df4e01dd4f5969865c5e2031e33a7f1a1d60c29f2dd1a.apk,28579,63702,12676,33973,15903,29729
430c55e0dc6d6965a663cad691ec98e2fb194475579a9b5d784af2cb00c9f421.apk,28478,59381,13802,34226,14676,25155
43fa8c189922e2dd4b9c7c61751463980a913b84548834b721556edf169c3ae1.apk,14795,34232,7682,21489,7113,12743
45bef1bbff89adbb83329a23da68280349d1f239a4fdf1fcdbe5ec83c959076f.apk,64953,140197,21957,58676,42996,81521
45c741fd41d034e6faa2038107fbaa1791147f2a591c89220b6f28279a0f9131.apk,59372,131742,25737,67480,33635,64262
467faa5064fbbe971bc9bc1644e75f9f4399086ebbdcdecf8e97aa9d8b2eefb5.apk,13106,18902,5729,11048,7377,7854
470816e16a8990134e7d07312f3e62668428fb4e92a411496e891c71c12883d9.apk,10056,17469,5355,10862,4701,6607
472ae45bd5c50a251097136041e677a381c6fcb6f5e8c32677b534d725cfbf23.apk,45503,93425,17064,45962,28439,47463
475ed72ada3221787b8a0055bd08b8271eee0108be939fc110467a9b36da2504.apk,71942,149308,26599,69002,45343,80306
4798f8b48167899c1ebf93e309711c9320c6b1725f28fc507d5f00c60872c5ff.apk,3476,7002,1334,3030,2142,3972
48046eaf88d105cfc728d8f15fbc17e26b9d3f46126bf8fedd083dab577f919c.apk,2334,3796,1210,2176,1124,1620
